file_path,model_name,chi2,alpha,teff,logg,fsed,met,plot_color,plot_ms,plot_alpha
/home/dylan/Research/Models/SonoraDiamondback/t1800g1000f8_m+0.5_co1.0.spec,t1800g1000f8_m+0.5_co1.0.spec,27931.009221440094,3.9247492135254773e-22,1800.0,5.0,8,0.5,xkcd:royal blue,P,1.0
/home/dylan/Research/Models/SonoraDiamondback/t1900g1000f8_m-0.5_co1.0.spec,t1900g1000f8_m-0.5_co1.0.spec,39433.50698586462,2.696808677559332e-22,1900.0,5.0,8,-0.5,xkcd:royal blue,P,0.333
/home/dylan/Research/Models/SonoraDiamondback/t900g1000f1_m-0.5_co1.0.spec,t900g1000f1_m-0.5_co1.0.spec,4276.357000223104,2.4115520217635607e-20,900.0,5.0,1,-0.5,xkcd:cherry,P,0.333
/home/dylan/Research/Models/SonoraDiamondback/t1500g3160f3_m-0.5_co1.0.spec,t1500g3160f3_m-0.5_co1.0.spec,21136.662072363702,1.046154607516832e-21,1500.0,5.5,3,-0.5,xkcd:robin's egg,v,0.333
/home/dylan/Research/Models/SonoraDiamondback/t1900g100f1_m0.0_co1.0.spec,t1900g100f1_m0.0_co1.0.spec,30953.734314695877,3.1264447386679463e-22,1900.0,4.0,1,0.0,xkcd:cherry,s,0.666
/home/dylan/Research/Models/SonoraDiamondback/t1700g1000f2_m+0.5_co1.0.spec,t1700g1000f2_m+0.5_co1.0.spec,21616.869615201475,5.810863195390495e-22,1700.0,5.0,2,0.5,xkcd:bright lavender,P,1.0
/home/dylan/Research/Models/SonoraDiamondback/t2000g3160f8_m+0.5_co1.0.spec,t2000g3160f8_m+0.5_co1.0.spec,32361.112803939126,2.3859508132538894e-22,2000.0,5.5,8,0.5,xkcd:royal blue,v,1.0
/home/dylan/Research/Models/SonoraDiamondback/t2300g31f2_m-0.5_co1.0.spec,t2300g31f2_m-0.5_co1.0.spec,38966.08737026417,1.2619180058548096e-22,2300.0,3.5,2,-0.5,xkcd:bright lavender,o,0.333
/home/dylan/Research/Models/SonoraDiamondback/t1200g31f4_m+0.5_co1.0.spec,t1200g31f4_m+0.5_co1.0.spec,25715.042174497954,2.8823471130747077e-21,1200.0,3.5,4,0.5,xkcd:navy green,o,1.0
/home/dylan/Research/Models/SonoraDiamondback/t2000g316f1_m-0.5_co1.0.spec,t2000g316f1_m-0.5_co1.0.spec,35594.83937872052,2.466172463775199e-22,2000.0,4.5,1,-0.5,xkcd:cherry,d,0.333
/home/dylan/Research/Models/SonoraDiamondback/t1200g31f4_m0.0_co1.0.spec,t1200g31f4_m0.0_co1.0.spec,26859.1319581795,2.327129977976449e-21,1200.0,3.5,4,0.0,xkcd:navy green,o,0.666
